timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729096609920,376,HTTP Request,200,OK,SauceDemo 1-2,text,true,,3948,244,2,2,https://www.saucedemo.com/,43,0,23
1729096608921,1375,HTTP Request,200,OK,SauceDemo 1-1,text,true,,3948,244,2,2,https://www.saucedemo.com/,1067,0,1042
1729096609920,43,HTTP Request-0,301,Moved Permanently,SauceDemo 1-2,text,true,,655,122,2,2,http://www.saucedemo.com/,43,0,23
1729096608921,1067,HTTP Request-0,301,Moved Permanently,SauceDemo 1-1,text,true,,655,122,2,2,http://www.saucedemo.com/,1067,0,1042
1729096609989,307,HTTP Request-1,200,OK,SauceDemo 1-1,text,true,,3293,122,2,2,https://www.saucedemo.com/,306,0,84
1729096609965,331,HTTP Request-1,200,OK,SauceDemo 1-2,text,true,,3293,122,2,2,https://www.saucedemo.com/,330,0,108
1729096610921,182,HTTP Request,200,OK,SauceDemo 1-3,text,true,,3946,244,1,1,https://www.saucedemo.com/,87,0,55
1729096610921,87,HTTP Request-0,301,Moved Permanently,SauceDemo 1-3,text,true,,655,122,1,1,http://www.saucedemo.com/,87,0,55
1729096611009,94,HTTP Request-1,200,OK,SauceDemo 1-3,text,true,,3291,122,1,1,https://www.saucedemo.com/,94,0,70
1729096611920,193,HTTP Request,200,OK,SauceDemo 1-4,text,true,,3949,244,1,1,https://www.saucedemo.com/,85,0,55
1729096611920,85,HTTP Request-0,301,Moved Permanently,SauceDemo 1-4,text,true,,658,122,1,1,http://www.saucedemo.com/,85,0,55
1729096612006,107,HTTP Request-1,200,OK,SauceDemo 1-4,text,true,,3291,122,1,1,https://www.saucedemo.com/,106,0,76
1729096612921,173,HTTP Request,200,OK,SauceDemo 1-5,text,true,,3946,244,1,1,https://www.saucedemo.com/,62,0,41
1729096612921,62,HTTP Request-0,301,Moved Permanently,SauceDemo 1-5,text,true,,655,122,1,1,http://www.saucedemo.com/,62,0,41
1729096612985,109,HTTP Request-1,200,OK,SauceDemo 1-5,text,true,,3291,122,1,1,https://www.saucedemo.com/,108,0,72
1729096613920,150,HTTP Request,200,OK,SauceDemo 1-6,text,true,,3948,244,1,1,https://www.saucedemo.com/,52,0,20
1729096613920,52,HTTP Request-0,301,Moved Permanently,SauceDemo 1-6,text,true,,657,122,1,1,http://www.saucedemo.com/,52,0,20
1729096613973,97,HTTP Request-1,200,OK,SauceDemo 1-6,text,true,,3291,122,1,1,https://www.saucedemo.com/,97,0,74
1729096614919,162,HTTP Request,200,OK,SauceDemo 1-7,text,true,,3946,244,1,1,https://www.saucedemo.com/,70,0,45
1729096614919,70,HTTP Request-0,301,Moved Permanently,SauceDemo 1-7,text,true,,655,122,1,1,http://www.saucedemo.com/,70,0,45
1729096614990,91,HTTP Request-1,200,OK,SauceDemo 1-7,text,true,,3291,122,1,1,https://www.saucedemo.com/,90,0,68
1729096615925,168,HTTP Request,200,OK,SauceDemo 1-8,text,true,,3946,244,1,1,https://www.saucedemo.com/,66,0,40
1729096615925,66,HTTP Request-0,301,Moved Permanently,SauceDemo 1-8,text,true,,655,122,1,1,http://www.saucedemo.com/,66,0,40
1729096615993,100,HTTP Request-1,200,OK,SauceDemo 1-8,text,true,,3291,122,1,1,https://www.saucedemo.com/,100,0,71
1729096616919,164,HTTP Request,200,OK,SauceDemo 1-9,text,true,,3946,244,1,1,https://www.saucedemo.com/,63,0,39
1729096616919,63,HTTP Request-0,301,Moved Permanently,SauceDemo 1-9,text,true,,655,122,1,1,http://www.saucedemo.com/,63,0,39
1729096616983,100,HTTP Request-1,200,OK,SauceDemo 1-9,text,true,,3291,122,1,1,https://www.saucedemo.com/,100,0,67
1729096617918,172,HTTP Request,200,OK,SauceDemo 1-10,text,true,,3948,244,1,1,https://www.saucedemo.com/,75,0,47
1729096617918,75,HTTP Request-0,301,Moved Permanently,SauceDemo 1-10,text,true,,657,122,1,1,http://www.saucedemo.com/,75,0,47
1729096617994,96,HTTP Request-1,200,OK,SauceDemo 1-10,text,true,,3291,122,1,1,https://www.saucedemo.com/,96,0,71
